date_day,utm_source,utm_medium,utm_campaign,spend
2020-02-01,facebook_ads,paid_social,10percentpromocode,13
2020-02-02,facebook_ads,paid_social,10percentpromocode,15
2020-02-03,facebook_ads,paid_social,10percentpromocode,13
2020-02-04,facebook_ads,paid_social,10percentpromocode,10
2020-02-05,facebook_ads,paid_social,10percentpromocode,13
2020-02-06,facebook_ads,paid_social,10percentpromocode,13
2020-02-07,facebook_ads,paid_social,10percentpromocode,12
2020-02-08,facebook_ads,paid_social,10percentpromocode,11
2020-02-01,facebook_ads,paid_social,freeshipping,11
2020-02-02,facebook_ads,paid_social,freeshipping,14
2020-02-03,facebook_ads,paid_social,freeshipping,11
2020-02-04,facebook_ads,paid_social,freeshipping,11
2020-02-05,facebook_ads,paid_social,freeshipping,12
2020-02-06,facebook_ads,paid_social,freeshipping,15
2020-02-07,facebook_ads,paid_social,freeshipping,14
2020-02-08,facebook_ads,paid_social,freeshipping,10
2020-02-09,facebook_ads,paid_social,freeshipping,14
2020-02-10,facebook_ads,paid_social,freeshipping,12
2020-02-11,facebook_ads,paid_social,freeshipping,10
2020-02-12,facebook_ads,paid_social,freeshipping,15
2020-02-13,facebook_ads,paid_social,freeshipping,14
2020-02-14,facebook_ads,paid_social,freeshipping,12
2020-02-15,facebook_ads,paid_social,freeshipping,15
2020-02-16,facebook_ads,paid_social,freeshipping,10
2020-02-17,facebook_ads,paid_social,freeshipping,12
2020-02-01,adwords,paid_search,branded_search,4
2020-02-02,adwords,paid_search,branded_search,1
2020-02-03,adwords,paid_search,branded_search,5
2020-02-04,adwords,paid_search,branded_search,2
2020-02-05,adwords,paid_search,branded_search,4
2020-02-06,adwords,paid_search,branded_search,5
2020-02-07,adwords,paid_search,branded_search,2
2020-02-08,adwords,paid_search,branded_search,4
2020-02-09,adwords,paid_search,branded_search,2
2020-02-10,adwords,paid_search,branded_search,2
2020-02-11,adwords,paid_search,branded_search,3
2020-02-12,adwords,paid_search,branded_search,5
2020-02-13,adwords,paid_search,branded_search,1
2020-02-14,adwords,paid_search,branded_search,2
2020-02-15,adwords,paid_search,branded_search,2
2020-02-16,adwords,paid_search,branded_search,2
2020-02-17,adwords,paid_search,branded_search,1
